K1;K2;K3;K4;K5;K6;K7;K8;K9;K10
0.06161699860598924;0.6383544192028049;0.29853451368729655;0.26557257100279463;0.7868706644589057;0.6523216242489338;0.45498274043671805;0.32780908852595414;0.34590571855914387;0.7085353701968151
0.49206924350233394;0.11001213721909842;0.49800941853419856;0.8162675794008655;0.01821834381790366;0.3236407510548096;0.6485985646040401;0.8730384807916342;0.4855665301112162;0.6501173739931175
0.8340644279112148;0.9669256936844068;0.5678757106309233;0.7697114701729031;0.48994440624917324;0.8216608262388552;0.8345187616023366;0.36825240193265085;0.16186990282471436;0.5280615630046724
0.4605526557603822;0.7122197901229187;0.2866798122797838;0.8765854064049999;0.04695471494530068;0.340650422609729;0.5444640355931242;0.05301035976865209;0.781996647231958;0.31721840896168807
0.7565469948643634;0.20602725350427775;0.6503960990745382;0.9085679309506113;0.7590570758997224;0.27732037053802894;0.6180867854104426;0.26675493812744333;0.13252265235151206;0.3202018895477551
0.8264813285199197;0.28894523245950454;0.7201360660689048;0.45414715737003686;0.9726951711130808;0.006152163986544279;0.28175752698441936;0.6002371229676754;0.8441799750352148;0.4931219082944478
0.6097392078183884;0.8457383920954608;0.43041790906848876;0.4054930289023584;0.10967271488441255;0.40899011790920636;0.6956077776003226;0.2806665124737415;0.8468532168217737;0.3323459289954571
0.27896788263211114;0.3653667039842263;0.14470647612433885;0.7893387411213324;0.993231792941484;0.21525656333650023;0.7663908508130459;0.6475966003554737;0.7702623111516284;0.5762121798362417
0.4401906007893561;0.5817763902185655;0.5252256021267907;0.6375747103227005;0.003114794229517215;0.02465558983234928;0.5550018811482488;0.00987545461689976;0.9462067356988426;0.09463850099348348
0.3837533297178338;0.43187317795012314;0.37740939634548687;0.5947909971366303;0.7782132022199112;0.013378786732406;0.524995592214188;0.42711182585083496;0.8663121133746972;0.4127349562309205
0.012846934905348939;0.7583123675591563;0.6097550583191924;0.8168415451025733;0.5514915762315602;0.9807188351903777;0.30438910653240236;0.038049161598528225;0.8512291644077667;0.3928220855770629
0.7689040075006726;0.2775031445457796;0.1610880836529761;0.8357225412743957;0.7527284839715388;0.26508344449029486;0.5137446590508559;0.5310501176850919;0.5278707242104397;0.6489064743289747
0.904671238770645;0.27992832411831825;0.5575925118964734;0.6848346521521961;0.914717428708206;0.07850470174930602;0.4549956551905324;0.7503017756592942;0.9242084497860686;0.7355738272255435
0.925859321922211;0.5588415089138983;0.01608941452963153;0.3259026847907338;0.6912995736276829;0.5661504820531063;0.26239099470844396;0.6195533312749927;0.4888404177956669;0.49436953122047633
0.8869945931169975;0.2401925140165606;0.6344943387908273;0.3074481678029857;0.20483161539330674;0.5444588722121568;0.484855330970979;0.3290772962620092;0.8518751013849095;0.6275429234984174
0.5666413728755331;0.45451994648031946;0.9226702950941739;0.48559850128265913;0.451529486452692;0.4901844043470365;0.009636257494983536;0.0076691437299040155;0.6263124095963537;0.6854333092447591
0.3436365161153828;0.5080818870903278;0.16519794281688904;0.45876899575159713;0.6584453332332224;0.22677250523573222;0.7471653889375807;0.5757000797430639;0.13777135359766035;0.7889391523248908
0.9780140278093227;0.056956092402574154;0.3743767310700993;0.10861245503272965;0.7780939705659359;0.8502009384011813;0.8635215186663991;0.9408228328337835;0.10695032934227466;0.4022073384500571
0.470178383497464;0.13594083311005167;0.5293587410062001;0.24287143113648568;0.32336412685965854;0.8990016099521853;0.15612427208499602;0.8392146637295338;0.12079137410108776;0.6685662205223742
0.7448217332461011;0.7509483598652722;0.4563623459559184;0.020448631060377087;0.9639260944410093;0.4183903956023549;0.7313972228534367;0.037069623895926496;0.7854557333179433;0.7550671302196591
0.18478985324773833;0.03416089149455992;0.12473714903854427;0.43300052509411024;0.13078051500938337;0.10014288295267881;0.3402735741833256;0.9167354288927014;0.2717519829269832;0.8117016652081296
0.585015751823733;0.12800911723147756;0.5249452582127377;0.13177176608988628;0.8087279280719675;0.24443380976773732;0.47638052047942003;0.5765938269759902;0.8954673125206619;0.8574799959927817
0.6971078396574337;0.32732837442061447;0.6460244221152678;0.8619838850235595;0.012324455819575753;0.23415020002382037;0.7134182008668936;0.06656250001043373;0.47911772294375976;0.3390258342251248
0.2370555030767666;0.2811405253217746;0.8781259254069208;0.3457815441336234;0.3934837555395666;0.6970150006554874;0.25262190755093517;0.5679616225771477;0.1622870871688038;0.1544390152196352
0.2215163596828711;0.6336480916286977;0.9658202250374732;0.46578004167914566;0.08289546502114353;0.7375423579217024;0.7927245010172332;0.1655290744181307;0.700730740208091;0.041553486553493
0.9506895009171895;0.4881307334262778;0.27808642477460754;0.2472824984627655;0.8994464639274016;0.7899336756389549;0.6212288944836525;0.7756762812412163;0.14545684326592134;0.9530651075168027
0.12494500309733281;0.9309428867577464;0.6175970749412056;0.4156733687906564;0.8664621272145718;0.18814874592010156;0.5376646775925216;0.8801756955165033;0.8197581013600708;0.8778736462426772
0.41889994792896235;0.15786458828899097;0.24364785762373786;0.8066752501208845;0.45218727793533275;0.21769058026074928;0.7289827041318983;0.5334312682631875;0.9597360620131157;0.9909557094654394
0.16240659912980915;0.25983949438807563;0.4593396517539219;0.7549142797099108;0.8482662571964955;0.7793965154562881;0.45739489792613786;0.4890138579081177;0.7715550965019068;0.9020106472026216
0.6091566867486583;0.6988571582154831;0.3096026383403917;0.18000082645316862;0.6702048397482188;0.2471716954675851;0.9939673565289567;0.7994804830477801;0.33102014228238963;0.49416984089089966
0.851214406691162;0.37463895176165884;0.9981868026290126;0.3581034544835354;0.4873156390260538;0.93192232965377;0.222047254424671;0.10697703090747546;0.36377108226638977;0.2953711306336029
0.7412202746735851;0.11108936768686706;0.4907208982712842;0.3746644407649692;0.31501033960099833;0.09105922021954027;0.5654640851822685;0.0015795145026894497;0.9169558900538746;0.08273129620012543
0.19771479886687993;0.16291455811148514;0.08684640615519601;0.132353609432466;0.9938405604692906;0.6937223984621709;0.08671980595736306;0.38283516926308103;0.0563613292189471;0.14605367412556824
0.40735661085430463;0.6329132001746703;0.20601346565347745;0.27100586641469493;0.9766827774579495;0.3735377356336318;0.029891897171119175;0.19187043783330793;0.9313465107795751;0.9570740150641214
0.6622533521044887;0.660129637725013;0.16203272973782423;0.7913644236245219;0.6963294732607862;0.12923976274447346;0.3072615385892835;0.6632139300165993;0.7774897936386305;0.3543504842805689
